badge,badge_type,is_finish,media_id,index_show,follow,play,pub_real_time,pub_date,renewal_time,score,season_id,title,tags,count
会员专享,0,1,28224137,全12话,432.3万追番,1.4亿次播放,1578412800,1578412800,1585146600,9.0分,29358,因为太怕痛就全点防御力了,小说改 穿越 奇幻 萌系,0
会员专享,0,1,28226008,全1话,483.4万追番,719.3万次播放,1578067200,1559836800,1578067203,9.7分,31150,Re：从零开始的异世界生活 Memory Snow(雪之回忆),小说改 穿越 奇幻 日常,0
会员专享,0,1,28223480,全1话,441.4万追番,1243.9万次播放,1573574400,1560528000,1573632000,9.8分,28965,青春猪头少年不会梦到怀梦美少女,小说改 穿越 奇幻 校园,0
会员专享,0,1,102792,全16话,440.3万追番,1亿次播放,1530806400,1530806400,1540566000,9.5分,24625,Angels of Death,恋爱 游戏改 冒险,0
会员专享,0,1,3398,全22话,450.5万追番,6246.8万次播放,1335024000,1335024000,1457417913,9.8分,3398,冰菓,恋爱 推理 校园 日常,0
,,1,6312,全12话,434万追番,1亿次播放,1499097600,1499097600,1505831400,9.7分,6312,徒然喜欢你,恋爱 校园 漫画改 搞笑,0
,,1,102252,全13话,451.6万追番,2.4亿次播放,1531152000,1531152000,1538490600,9.4分,24596,OVERLORD Ⅲ,小说改 奇幻 智斗 战斗,0
,,1,8792,全13话,439万追番,2.3亿次播放,1515427200,1515427200,1522767600,9.6分,21466,OVERLORDⅡ,小说改 奇幻 战斗 魔法,0
会员专享,0,1,3450,全13话,478.3万追番,1.7亿次播放,1460044800,1460044800,1475935210,9.2分,3450,在下坂本，有何贵干？,搞笑 校园 日常,0
会员专享,0,1,28226009,全1话,485.3万追番,819万次播放,1588262400,1573142400,1588262403,9.5分,31151,Re：从零开始的异世界生活 冰结之绊,小说改 奇幻 战斗,0
会员专享,0,1,28222723,全13话,506.9万追番,7523.9万次播放,1570291200,1570291200,1577550600,9.3分,28615,刀剑神域 爱丽丝篇 异界战争,小说改 穿越 科幻 架空,0
会员专享,0,1,3461,全25话,510.8万追番,2亿次播放,1459699200,1459699200,1474218310,9.2分,3461,Re：从零开始的异世界生活,奇幻 战斗 励志 小说改,0
会员专享,0,1,134932,全13话,541.3万追番,1.3亿次播放,1538582400,1538582400,1545850200,9.8分,25733,青春猪头少年不会梦到兔女郎学姐,小说改 恋爱 奇幻 校园,0
会员专享,0,1,28224394,全13话,542.7万追番,4559.3万次播放,1577808000,1577808000,1585755000,9.6分,29590,Re：从零开始的异世界生活 新编集版,小说改 穿越 奇幻 战斗,0
会员专享,0,1,139252,全27话,564.2万追番,2.5亿次播放,1538409600,1538409600,1585238403,9.4分,25739,关于我转生变成史莱姆这档事,小说改 奇幻 战斗 魔法,0
会员抢先,0,0,28224095,更新至第15话,516.5万追番,8894.2万次播放,1578672000,1578672000,1590163500,9.8分,29325,某科学的超电磁炮T,漫画改 战斗 科幻 校园,0
会员专享,0,1,5267730,全12话,570万追番,1.8亿次播放,1547308800,1547308800,1553961600,9.8分,26274,辉夜大小姐想让我告白~天才们的恋爱头脑战~,恋爱 校园 智斗 日常,0
会员专享,0,1,5800,全14话,579.8万追番,2.1亿次播放,1484064000,1484064000,1585908498,9.6分,5800,小林家的龙女仆,萌系 搞笑 日常 漫画改,0
会员抢先,0,0,28228119,即将开播,587.8万追番,502.6万次播放,1595692800,1595692800,,,32781,刀剑神域 爱丽丝篇 异界战争 -终章-,小说改 穿越 架空 科幻,0
会员专享,0,1,6339,全12话,602.7万追番,1.7亿次播放,1499875200,1499875200,1506531600,8.7分,6339,欢迎来到实力至上主义的教室,小说改 校园,0
会员抢先,0,0,28228367,更新至第7话,641.1万追番,7352.2万次播放,1586620800,1586620800,1590249602,9.9分,32982,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,搞笑 校园 恋爱 漫画改,0
,,1,5997,全12话,604万追番,1.7亿次播放,1491667200,1491667200,1498323600,9.2分,5997,埃罗芒阿老师,小说改 搞笑 恋爱,0
付费观看,2,1,8892,全14话,539.3万追番,9637.9万次播放,1515600000,1515600000,1538913600,9.7分,21542,紫罗兰永恒花园,小说改 奇幻 治愈 架空,0
会员专享,0,1,102392,全14话,675.4万追番,1.7亿次播放,1530979200,1530979200,1545843600,9.6分,24588,工作细胞,搞笑 战斗 日常 声控,0
